TimesNewRomanPSMT	28	28	Government Response | Royal
TimesNewRomanPSMT	28	32	Commission Into The Robodebt
TimesNewRomanPSMT	28	35	Scheme
SegoeUI-Semilight	14	41	November 2023
SegoeUI-Semilight	10	16	© Commonwealth of Australia 2023
SegoeUI-Semilight	10	19	ISBN: 978-1-925365-36-8 (Online)
SegoeUI-Semilight	10	22	ISBN: 978-1-925365-37-5 (Print)
SegoeUI-Semilight	10	25	Copyright Notice
SegoeUI-Semilight	10	27	With the exception of the Commonwealth Coat of Arms, this work is licensed under a Creative Commons
SegoeUI-Semilight	10	29	Attribution 4.0 International licence (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/).
SegoeUI-Semilight	10	35	Third party copyright
SegoeUI-Semilight	10	38	Wherever a third party holds copyright in this material, the copyright remains with that party. Their
SegoeUI-Semilight	10	40	permission may be required to use the material. Please contact them directly.
SegoeUI-Semilight	10	43	Attribution
SegoeUI-Semilight	10	45	This publication should be attributed as follows:
SegoeUI-Semilight	10	48	© Commonwealth of Australia, Department of the Prime Minister and Cabinet, Royal Commission into
SegoeUI-Semilight	10	50	the Robodebt Scheme – Government Response.
SegoeUI-Semilight	10	52	Use of the Coat of Arms
SegoeUI-Semilight	10	55	The terms under which the Coat of Arms can be used are detailed on the following website:
SegoeUI-Semilight	10	57	https://pmc.gov.au/cca
SegoeUI	9	95	GOVERNMENT RESPONSE | ROYAL COMMISSION INTO THE ROBODEBT SCHEME 2
TimesNewRomanPSMT	12	11	Ministerial Foreword
SegoeUI-SemilightItalic	10	13	“Robodebt was a crude and cruel mechanism, neither fair nor legal, and it made many people feel
SegoeUI-SemilightItalic	10	15	like criminals. In essence, people were traumatised on the off-chance they might owe money. It
SegoeUI-SemilightItalic	10	17	was a costly failure of public administration, in both human and economic terms.”1
SegoeUI-Semilight	10	20	With those words, the Royal Commission summed up the human tragedy that was the Robodebt
SegoeUI-Semilight	10	22	Scheme – a Budget measure introduced by the Abbott Government, expanded by the Turnbull
SegoeUI-Semilight	10	23	Government and defended, until the last minute, by the Morrison Government.
SegoeUI-Semilight	10	26	The Robodebt Scheme was not an innocent mistake.
SegoeUI-Semilight	10	29	The Royal Commission found that “[t]he beginning of 2017 was the point at which Robodebt’s
SegoeUI-Semilight	10	30	unfairness, probable illegality and cruelty became apparent”2. But, instead of abandoning or revising
SegoeUI-Semilight	10	32	the Scheme, the Royal Commission found that the path taken by the former government “was to
SegoeUI-Semilight	10	34	double down, to go on the attack in the media against those who complained and to maintain the
SegoeUI-Semilight	10	35	falsehood that in fact the system had not changed at all”3.
SegoeUI-Semilight	10	38	It was not until mid-2020 that the Robodebt Scheme finally came to an end. Not because the former
SegoeUI-Semilight	10	40	government saw the error of its ways or finally came to its senses – but because the Federal Court
SegoeUI-Semilight	10	42	found that the Scheme was unlawful. And yet to this day, people who served as senior Cabinet
SegoeUI-Semilight	10	43	ministers in the former government continue to maintain that “[w]hen the problems were brought to
SegoeUI-Semilight	10	45	the attention of the government at the time, the program was stopped”4. Such claims are
SegoeUI-Semilight	10	47	demonstrably false and an insult to the hundreds of thousands of Australians harmed by the
SegoeUI-Semilight	10	49	Robodebt Scheme – most of whom were targeted after the point at which the Royal Commission
SegoeUI-Semilight	10	50	found the Scheme’s “unfairness, probable illegality and cruelty became apparent”5. Those who shared
SegoeUI-Semilight	10	52	their stories with the Royal Commission and who campaigned tirelessly to raise the alarm bells about
SegoeUI-Semilight	10	54	the gross betrayal that was the Robodebt Scheme deserve better.
SegoeUI-Semilight	10	57	While ministers of the former government bear ultimate responsibility for the Robodebt Scheme, the
SegoeUI-Semilight	10	58	Royal Commission found serious failings within the Australian Public Service and with the institutional
SegoeUI-Semilight	10	60	checks and balances that should have put a stop to the Robodebt Scheme long before the Federal
SegoeUI-Semilight	10	62	Court found it unlawful.
SegoeUI-Semilight	10	64	Commissioner Holmes AC SC made 56 recommendations for reform.
SegoeUI-Semilight	10	67	We have worked through the Commissioner’s recommendations carefully. The Australian Government
SegoeUI-Semilight	10	69	has accepted or accepted in principle all 56 recommendations. This is backed up by resources to
SegoeUI-Semilight	10	71	ensure we deliver meaningful change. For some recommendations, we have gone further than the
SegoeUI-Semilight	10	79	1 Royal Commission into the Robodebt Scheme, Report, page xxix.
